epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,609.083,1.19435,1.37283,1.06814,0.92625,0.92173,0.95931,0.67765,0.99134,0.84039,0.97251,0.00066617,0.00066617,0.00066617
2,1215.65,1.07522,0.86655,1.00922,0.93343,0.91538,0.9701,0.75215,0.80898,0.66879,0.91253,0.000673082,0.000673082,0.000673082
